datetime,Article Count,All Articles,keyword
2019-04-24 00:00:00+00:00,564,591325,Green Deal
2019-04-25 00:00:00+00:00,567,584120,Green Deal
2019-04-26 00:00:00+00:00,403,562597,Green Deal
2019-04-27 00:00:00+00:00,479,352776,Green Deal
2019-04-28 00:00:00+00:00,540,332695,Green Deal
2019-04-29 00:00:00+00:00,1331,522861,Green Deal
2019-04-30 00:00:00+00:00,407,570267,Green Deal
2019-05-01 00:00:00+00:00,509,485506,Green Deal
2019-05-02 00:00:00+00:00,663,549026,Green Deal
2019-05-03 00:00:00+00:00,439,530092,Green Deal
2019-05-04 00:00:00+00:00,102,355768,Green Deal
2019-05-05 00:00:00+00:00,112,341957,Green Deal
2019-05-06 00:00:00+00:00,269,515301,Green Deal
2019-05-07 00:00:00+00:00,190,574256,Green Deal
2019-05-08 00:00:00+00:00,201,582183,Green Deal
2019-05-09 00:00:00+00:00,250,577844,Green Deal
2019-05-10 00:00:00+00:00,269,554114,Green Deal
2019-05-11 00:00:00+00:00,126,350696,Green Deal
2019-05-12 00:00:00+00:00,136,317985,Green Deal
2019-05-13 00:00:00+00:00,660,536102,Green Deal
2019-05-14 00:00:00+00:00,760,585896,Green Deal
2019-05-15 00:00:00+00:00,526,591221,Green Deal
2019-05-16 00:00:00+00:00,651,591207,Green Deal
2019-05-17 00:00:00+00:00,244,556159,Green Deal
2019-05-18 00:00:00+00:00,203,353256,Green Deal
2019-05-19 00:00:00+00:00,145,325667,Green Deal
2019-05-20 00:00:00+00:00,238,527535,Green Deal
2019-05-21 00:00:00+00:00,242,572682,Green Deal
2019-05-22 00:00:00+00:00,270,586055,Green Deal
2019-05-23 00:00:00+00:00,312,586614,Green Deal
2019-05-24 00:00:00+00:00,183,554998,Green Deal
2019-05-25 00:00:00+00:00,134,345474,Green Deal
2019-05-26 00:00:00+00:00,78,339260,Green Deal
2019-05-27 00:00:00+00:00,293,485161,Green Deal
2019-05-28 00:00:00+00:00,145,552153,Green Deal
2019-05-29 00:00:00+00:00,150,571014,Green Deal
2019-05-30 00:00:00+00:00,158,554953,Green Deal
2019-05-31 00:00:00+00:00,213,538059,Green Deal
2019-06-01 00:00:00+00:00,93,349368,Green Deal
2019-06-02 00:00:00+00:00,71,295119,Green Deal
2019-06-03 00:00:00+00:00,152,520036,Green Deal
2019-06-04 00:00:00+00:00,908,551818,Green Deal
2019-06-05 00:00:00+00:00,366,545910,Green Deal
2019-06-06 00:00:00+00:00,253,547521,Green Deal
2019-06-07 00:00:00+00:00,325,518061,Green Deal
2019-06-08 00:00:00+00:00,138,335951,Green Deal
2019-06-09 00:00:00+00:00,57,305141,Green Deal
2019-06-10 00:00:00+00:00,211,506985,Green Deal
2019-06-11 00:00:00+00:00,288,566933,Green Deal
2019-06-12 00:00:00+00:00,184,570073,Green Deal
2019-06-13 00:00:00+00:00,232,565204,Green Deal
2019-06-14 00:00:00+00:00,434,531773,Green Deal
2019-06-15 00:00:00+00:00,74,330545,Green Deal
2019-06-16 00:00:00+00:00,73,300557,Green Deal
2019-06-17 00:00:00+00:00,303,469557,Green Deal
2019-06-18 00:00:00+00:00,350,548269,Green Deal
2019-06-19 00:00:00+00:00,314,546694,Green Deal
2019-06-20 00:00:00+00:00,206,532580,Green Deal
2019-06-21 00:00:00+00:00,142,514540,Green Deal
2019-06-22 00:00:00+00:00,106,317482,Green Deal
2019-06-23 00:00:00+00:00,120,278915,Green Deal
2019-06-24 00:00:00+00:00,456,501889,Green Deal
2019-06-25 00:00:00+00:00,499,533291,Green Deal
2019-06-26 00:00:00+00:00,938,559876,Green Deal
2019-06-27 00:00:00+00:00,372,559529,Green Deal
2019-06-28 00:00:00+00:00,515,523192,Green Deal
2019-06-29 00:00:00+00:00,237,332558,Green Deal
2019-06-30 00:00:00+00:00,100,306767,Green Deal
2019-07-01 00:00:00+00:00,117,501715,Green Deal
2019-07-02 00:00:00+00:00,97,533759,Green Deal
2019-07-03 00:00:00+00:00,100,545890,Green Deal
2019-07-04 00:00:00+00:00,61,490272,Green Deal
2019-07-05 00:00:00+00:00,128,477685,Green Deal
2019-07-06 00:00:00+00:00,99,312638,Green Deal
2019-07-07 00:00:00+00:00,77,299153,Green Deal
2019-07-08 00:00:00+00:00,298,494895,Green Deal
2019-07-09 00:00:00+00:00,422,532760,Green Deal
2019-07-10 00:00:00+00:00,266,545918,Green Deal
2019-07-11 00:00:00+00:00,237,543604,Green Deal
2019-07-12 00:00:00+00:00,262,516277,Green Deal
2019-07-13 00:00:00+00:00,201,324067,Green Deal
2019-07-14 00:00:00+00:00,124,300689,Green Deal
2019-07-15 00:00:00+00:00,144,496030,Green Deal
2019-07-16 00:00:00+00:00,541,541094,Green Deal
2019-07-17 00:00:00+00:00,498,550809,Green Deal
2019-07-18 00:00:00+00:00,857,551040,Green Deal
2019-07-19 00:00:00+00:00,190,511797,Green Deal
2019-07-20 00:00:00+00:00,126,320084,Green Deal
2019-07-21 00:00:00+00:00,53,298078,Green Deal
2019-07-22 00:00:00+00:00,254,496101,Green Deal
2019-07-23 00:00:00+00:00,203,542655,Green Deal
2019-07-24 00:00:00+00:00,160,550539,Green Deal
2019-07-25 00:00:00+00:00,199,542767,Green Deal
2019-07-26 00:00:00+00:00,214,510044,Green Deal
2019-07-27 00:00:00+00:00,73,320494,Green Deal
2019-07-28 00:00:00+00:00,240,293745,Green Deal
2019-07-29 00:00:00+00:00,148,488126,Green Deal
2019-07-30 00:00:00+00:00,226,536137,Green Deal
2019-07-31 00:00:00+00:00,1332,551657,Green Deal
2019-08-01 00:00:00+00:00,550,544051,Green Deal
2019-08-02 00:00:00+00:00,157,499653,Green Deal
2019-08-03 00:00:00+00:00,289,312326,Green Deal
2019-08-04 00:00:00+00:00,251,299125,Green Deal
2019-08-05 00:00:00+00:00,220,483118,Green Deal
2019-08-06 00:00:00+00:00,206,526808,Green Deal
2019-08-07 00:00:00+00:00,206,540520,Green Deal
2019-08-08 00:00:00+00:00,135,534809,Green Deal
2019-08-09 00:00:00+00:00,112,510275,Green Deal
2019-08-10 00:00:00+00:00,55,319632,Green Deal
2019-08-11 00:00:00+00:00,41,286034,Green Deal
2019-08-12 00:00:00+00:00,127,460999,Green Deal
2019-08-13 00:00:00+00:00,119,494778,Green Deal
2019-08-14 00:00:00+00:00,132,511339,Green Deal
2019-08-15 00:00:00+00:00,276,483144,Green Deal
2019-08-16 00:00:00+00:00,291,488425,Green Deal
2019-08-17 00:00:00+00:00,70,312833,Green Deal
2019-08-18 00:00:00+00:00,46,293299,Green Deal
2019-08-19 00:00:00+00:00,150,482115,Green Deal
2019-08-20 00:00:00+00:00,132,512041,Green Deal
2019-08-21 00:00:00+00:00,147,533452,Green Deal
2019-08-22 00:00:00+00:00,765,529087,Green Deal
2019-08-23 00:00:00+00:00,349,499521,Green Deal
2019-08-24 00:00:00+00:00,88,329635,Green Deal
2019-08-25 00:00:00+00:00,276,298799,Green Deal
2019-08-26 00:00:00+00:00,281,474152,Green Deal
2019-08-27 00:00:00+00:00,240,523306,Green Deal
2019-08-28 00:00:00+00:00,156,538641,Green Deal
2019-08-29 00:00:00+00:00,156,534574,Green Deal
2019-08-30 00:00:00+00:00,228,501716,Green Deal
2019-08-31 00:00:00+00:00,230,321579,Green Deal
2019-09-01 00:00:00+00:00,87,302842,Green Deal
2019-09-02 00:00:00+00:00,87,439231,Green Deal
2019-09-03 00:00:00+00:00,253,510643,Green Deal
2019-09-04 00:00:00+00:00,577,543845,Green Deal
2019-09-05 00:00:00+00:00,800,532554,Green Deal
2019-09-06 00:00:00+00:00,268,507294,Green Deal
2019-09-07 00:00:00+00:00,219,312530,Green Deal
2019-09-08 00:00:00+00:00,66,294714,Green Deal
2019-09-09 00:00:00+00:00,300,489879,Green Deal
2019-09-10 00:00:00+00:00,298,534367,Green Deal
2019-09-11 00:00:00+00:00,321,532778,Green Deal
2019-09-12 00:00:00+00:00,272,537433,Green Deal
2019-09-13 00:00:00+00:00,306,494363,Green Deal
2019-09-14 00:00:00+00:00,274,313982,Green Deal
2019-09-15 00:00:00+00:00,216,295775,Green Deal
2019-09-16 00:00:00+00:00,185,497858,Green Deal
2019-09-17 00:00:00+00:00,554,529118,Green Deal
2019-09-18 00:00:00+00:00,522,542926,Green Deal
2019-09-19 00:00:00+00:00,496,542773,Green Deal
2019-09-20 00:00:00+00:00,1120,515934,Green Deal
2019-09-21 00:00:00+00:00,682,310909,Green Deal
2019-09-22 00:00:00+00:00,285,294180,Green Deal
2019-09-23 00:00:00+00:00,247,486570,Green Deal
2019-09-24 00:00:00+00:00,431,528837,Green Deal
